Index,Date,Day,Week,Course,Credits,Rec,Hr,Met_rec,Sick,Notes,Hex_Code
162,9-Feb-24,Friday,05,MATH 101,4,12,00.25,0,0,,
163,9-Feb-24,Friday,05,CSE 111,2,6,#N/A,1,0,,
164,9-Feb-24,Friday,05,MKT 275,3,9,#N/A,1,0,,
165,9-Feb-24,Friday,05,MATH 221,3,9,#N/A,0,0,,
166,10-Feb-24,Saturday,05,ACCTG 201,3,9,00.25,1,0,,
167,10-Feb-24,Saturday,05,MATH 101,4,12,00.50,0,0,,
168,10-Feb-24,Saturday,05,CSE 111,2,6,#N/A,1,0,,
169,10-Feb-24,Saturday,05,MKT 275,3,9,#N/A,1,0,,
170,10-Feb-24,Saturday,05,MATH 221,3,9,#N/A,0,0,,
171,11-Feb-24,Sunday,05,ACCTG 201,3,9,#N/A,1,0,,
172,11-Feb-24,Sunday,05,MATH 101,4,12,#N/A,0,0,,
173,11-Feb-24,Sunday,05,CSE 111,2,6,02.50,1,0,,
174,11-Feb-24,Sunday,05,MKT 275,3,9,00.75,1,0,,
175,11-Feb-24,Sunday,05,MATH 221,3,9,#N/A,0,0,,
176,12-Feb-24,Monday,06,ACCTG 201,3,9,#N/A,1,0,,
177,12-Feb-24,Monday,06,MATH 101,4,12,06.50,0,0,,
178,12-Feb-24,Monday,06,CSE 111,2,6,#N/A,0,0,,
179,12-Feb-24,Monday,06,MKT 275,3,9,00.50,0,0,,
180,12-Feb-24,Monday,06,MATH 221,3,9,01.25,1,0,,
181,13-Feb-24,Tuesday,06,ACCTG 201,3,9,#N/A,1,0,,
182,13-Feb-24,Tuesday,06,MATH 101,4,12,#N/A,0,0,,
183,13-Feb-24,Tuesday,06,CSE 111,2,6,01.00,0,0,,
184,13-Feb-24,Tuesday,06,MKT 275,3,9,#N/A,0,0,,
185,13-Feb-24,Tuesday,06,MATH 221,3,9,08.00,1,0,,
186,14-Feb-24,Wednesday,06,ACCTG 201,3,9,#N/A,1,0,,
187,14-Feb-24,Wednesday,06,MATH 101,4,12,03.50,0,0,,
188,14-Feb-24,Wednesday,06,CSE 111,2,6,#N/A,0,0,,
189,14-Feb-24,Wednesday,06,MKT 275,3,9,04.00,0,0,,
190,14-Feb-24,Wednesday,06,MATH 221,3,9,06.00,1,0,,
191,15-Feb-24,Thursday,06,ACCTG 201,3,9,04.50,1,0,,
192,15-Feb-24,Thursday,06,MATH 101,4,12,01.25,0,0,,
193,15-Feb-24,Thursday,06,CSE 111,2,6,01.75,0,0,,
194,15-Feb-24,Thursday,06,MKT 275,3,9,00.50,0,0,,
195,15-Feb-24,Thursday,06,MATH 221,3,9,#N/A,1,0,,
196,16-Feb-24,Friday,06,ACCTG 201,3,9,04.50,1,0,,
197,16-Feb-24,Friday,06,MATH 101,4,12,#N/A,0,0,,
198,16-Feb-24,Friday,06,CSE 111,2,6,#N/A,0,0,,
199,16-Feb-24,Friday,06,MKT 275,3,9,#N/A,0,0,,
200,16-Feb-24,Friday,06,MATH 221,3,9,00.50,1,0,,
201,17-Feb-24,Saturday,06,ACCTG 201,3,9,#N/A,1,0,,
202,17-Feb-24,Saturday,06,MATH 101,4,12,#N/A,0,0,,
203,17-Feb-24,Saturday,06,CSE 111,2,6,#N/A,0,0,,
204,17-Feb-24,Saturday,06,MKT 275,3,9,#N/A,0,0,,
205,17-Feb-24,Saturday,06,MATH 221,3,9,#N/A,1,0,,
206,18-Feb-24,Sunday,06,ACCTG 201,3,9,#N/A,1,0,,
207,18-Feb-24,Sunday,06,MATH 101,4,12,#N/A,0,0,,
208,18-Feb-24,Sunday,06,CSE 111,2,6,#N/A,0,0,,
209,18-Feb-24,Sunday,06,MKT 275,3,9,#N/A,0,0,,
210,18-Feb-24,Sunday,06,MATH 221,3,9,#N/A,1,0,,
211,19-Feb-24,Monday,07,ACCTG 201,3,9,#N/A,0,0,,
212,19-Feb-24,Monday,07,MATH 101,4,12,#N/A,1,0,,
213,19-Feb-24,Monday,07,CSE 111,2,6,#N/A,0,0,,
214,19-Feb-24,Monday,07,MKT 275,3,9,#N/A,0,0,,
215,19-Feb-24,Monday,07,MATH 221,3,9,#N/A,0,0,,
216,20-Feb-24,Tuesday,07,ACCTG 201,3,9,#N/A,0,0,,
217,20-Feb-24,Tuesday,07,MATH 101,4,12,#N/A,1,0,,
218,20-Feb-24,Tuesday,07,CSE 111,2,6,#N/A,0,0,,
219,20-Feb-24,Tuesday,07,MKT 275,3,9,#N/A,0,0,,
220,20-Feb-24,Tuesday,07,MATH 221,3,9,#N/A,0,0,,
221,21-Feb-24,Wednesday,07,ACCTG 201,3,9,01.00,0,0,,
222,21-Feb-24,Wednesday,07,MATH 101,4,12,10.25,1,0,,
223,21-Feb-24,Wednesday,07,CSE 111,2,6,#N/A,0,0,,
224,21-Feb-24,Wednesday,07,MKT 275,3,9,#N/A,0,0,,
225,21-Feb-24,Wednesday,07,MATH 221,3,9,#N/A,0,0,,
226,22-Feb-24,Thursday,07,ACCTG 201,3,9,#N/A,0,0,,
227,22-Feb-24,Thursday,07,MATH 101,4,12,08.25,1,0,,
