glpostingdate,timestamp,aftercloseflag,sourcename,glaccountid,glaccountname,deptname,divisionname,deptid,dividx,username,ref1,sourceidx,drcr,amount,dr,cr,reportdate,astitle,ascompanyname,rolluppayments,ponum
10/20/25 0:00,11/5/25 11:29,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`204090Ca,10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",930,
10/20/25 0:00,11/5/25 11:29,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`204090Ca,10,D,1900,1900,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",931,
10/21/25 0:00,10/22/25 14:48,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"Bob Evans Farms`204104Lima, OH",10,D,3915,3915,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",414,
10/21/25 0:00,10/22/25 14:48,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"Bob Evans Farms`204104Lima, OH",10,D,803.23,803.23,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",416,
10/21/25 0:00,10/22/25 14:48,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,Economy Produce & Vegetable Co.`204202Ohio,10,D,5000,5000,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",436,
10/21/25 0:00,10/22/25 14:50,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"McAneny Bros`204187Ebensburg, PA",10,D,5700,5700,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",470,
10/21/25 0:00,10/22/25 14:50,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,North American Produce`204155Philadelphia,10,D,6500,6500,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",471,
10/21/25 0:00,10/22/25 14:51,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,North American Produce`204227Philadelphia,10,D,6500,6500,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",472,
10/21/25 0:00,10/22/25 14:51,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,O.K. Produce`204128Ca,10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",481,
10/21/25 0:00,10/22/25 14:51,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,O.K. Produce`204200Ca,10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",482,
10/21/25 0:00,10/22/25 14:51,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,O.K. Produce`204184Ca,10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",483,
10/21/25 0:00,10/22/25 14:51,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,O.K. Produce`204185Ca,10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",484,
10/21/25 0:00,10/22/25 14:51,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,O.K. Produce`204183Ca,10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",489,
10/21/25 0:00,10/22/25 14:52,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,Pro*Act`204214HillCrest Foodservice,10,D,5800,5800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",490,
